name,decision,method,witnesses_found,witnesses_verified,wall_s,criterion_note
"SDS(18,15,2,[3,6])",NONEXIST,exhaust+criterion,0,True,0.111,"T1: |G| even, k-lam=13 not a perfect square"
"SDS(20,11,2,[2,10])",NONEXIST,exhaust,0,True,0.481,
"SDS(20,17,8,[2,10])",NONEXIST,exhaust,0,True,0.032,
"SDS(24,18,2,[2,12])",NONEXIST,exhaust,0,True,54.956,
"SDS(24,18,2,[2,2,6])",NONEXIST,exhaust,0,True,41.398,
"SDS(25,12,1,[5,5])",EXIST,exhaust,50,True,48.690,
"SDS(25,16,2,[5,5])",NONEXIST,exhaust+criterion,0,True,181.137,"T2: m=5 | exp(G)=5, p=2 self-conjugate mod 5, v_p(k-lam)=1 odd"
"SDS(25,24,5,[5,5])",NONEXIST,exhaust+criterion,0,True,0.659,"T2: m=5 | exp(G)=5, p=19 self-conjugate mod 5, v_p(k-lam)=1 odd"
"SDS(27,10,1,[3,3,3])",EXIST,exhaust,50,True,16.990,
"SDS(27,10,1,[3,9])",EXIST,exhaust,50,True,16.958,
"SDS(27,12,2,[3,3,3])",NONEXIST,exhaust+criterion,0,True,57.211,"T2: m=3 | exp(G)=3, p=2 self-conjugate mod 3, v_p(k-lam)=1 odd"
"SDS(27,12,2,[3,9])",NONEXIST,exhaust+criterion,0,True,53.437,"T2: m=3 | exp(G)=9, p=2 self-conjugate mod 3, v_p(k-lam)=1 odd"
"SDS(27,14,5,[3,3,3])",EXIST,exhaust,50,True,21.018,
"SDS(27,14,5,[3,9])",EXIST,exhaust,50,True,20.213,
"SDS(27,17,4,[3,3,3])",NONEXIST,exhaust,0,True,355.586,
"SDS(27,17,4,[3,9])",NONEXIST,exhaust,0,True,346.113,
"SDS(27,17,8,[27])",NONEXIST,exhaust,0,True,14.124,
"SDS(27,17,8,[3,3,3])",EXIST,exhaust,50,True,14.622,
"SDS(27,22,3,[3,3,3])",NONEXIST,exhaust,0,True,464.751,
"SDS(27,22,3,[3,9])",NONEXIST,exhaust,0,True,456.049,
"SDS(27,22,9,[3,3,3])",NONEXIST,exhaust,0,True,19.088,
"SDS(27,22,9,[3,9])",NONEXIST,exhaust,0,True,19.449,
"SDS(27,23,1,[3,3,3])",NONEXIST,exhaust+criterion,0,True,541.114,"T2: m=3 | exp(G)=3, p=2 self-conjugate mod 3, v_p(k-lam)=1 odd"
"SDS(27,23,1,[3,9])",NONEXIST,exhaust+criterion,0,True,539.194,"T2: m=3 | exp(G)=9, p=2 self-conjugate mod 3, v_p(k-lam)=1 odd"
"SDS(27,23,13,[3,3,3])",NONEXIST,exhaust+criterion,0,True,1.117,"T2: m=3 | exp(G)=3, p=2 self-conjugate mod 3, v_p(k-lam)=1 odd"
